Number,Museum,Genus,Species,Sex,Prep,Country,Locality1,Isl_Main,GSL_24,ROST.LEN_26,LACR.W_30,POSTORB.W_32,MASTOID_34,C1.C1_37,M3.M3_38,GLENO.L_44,MAX.TOOTH_h,DEN.L_46,LOW.TR_49,MOM1.COR_52,MOM2.ANG_53,DEN.TH_57,CON.L_60,MASS.MUSC_c,lat,lon,bio15,bio16,bio17,bio4,bio5,bio6,bioalt
387740,USNM,Lasiurus,villosissimus,F,Recent,Venezuela,Distrito Federal,Main,15.09,5.93,7.51,5.06,9.37,3.78,4.62,1.71,4.5,11.83,5.96,3.29,2.58,1.97,1.53,3.84,10.53717677,-66.95217108,55.8140519,438,81,82.77388764,25.89999962,13.69999981,1220
441840,USNM,Lasiurus,villosissimus,M,Recent,Venezuela,Falcon,Main,14.56,5.12,7.79,5.16,9.27,3.85,4.77,1.76,4.48,11.53,5.81,3.19,2.55,1.76,1.54,3.9,11.16687056,-70.6175761,68.07311345,271,36,97.42905375,33.70000076,22.20000076,35
118559,MVZ,Lasiurus,villosissimus,F,Recent,Galapagos,"Academy Bay, Isla  Santa Cruz",Island,15.63,5.43,7.95,5.13,9.68,3.92,4.7,1.74,4.51,11.91,6.45,3.5,2.81,1.73,1.74,3.84,-0.751483265,-90.31752089,85.88128633,144,22,183.7668692,29.70000076,17.20000076,18
118560,MVZ,Lasiurus,villosissimus,M,Recent,Galapagos,"Academy Bay, Isla  Santa Cruz",Island,15.54,5.89,7.89,5.32,9.68,3.77,4.52,1.79,4.57,12.14,6.54,3.59,2.63,1.72,1.72,3.83,-0.751483265,-90.31752089,85.88128633,144,22,183.7668692,29.70000076,17.20000076,18
145371,MVZ,Lasiurus,villosissimus,F,Recent,Galapagos,"Conway Bay, Isla Santa Cruz",Island,15.09,5.74,7.86,5.11,9.47,3.84,4.82,1.58,4.75,12.12,6.57,3.54,2.54,1.62,1.72,3.74,-0.54824213,-90.50765146,103.9381579,113,5,157.4079811,30.20000076,17.5,24
268078,AMNH,Lasiurus,villosissimus,M,Recent,Galapagos,Santa Cruz,Island,14.67,5.86,7.54,5.22,9.74,3.85,4.82,1.7,4.59,11.71,5.84,5.24,2.5,1.79,1.64,3.66,-0.639359,-90.337189,72.39082879,174,32,171.1923382,26.10000038,14.19999981,688
268079,AMNH,Lasiurus,villosissimus,F,Recent,Galapagos,Santa Cruz,Island,15.97,5.87,7.96,5.32,9.81,3.94,4.75,1.75,4.51,12.12,6.12,3.32,2.71,1.76,1.74,3.66,-0.639359,-90.337189,72.39082879,174,32,171.1923382,26.10000038,14.19999981,688
268080,AMNH,Lasiurus,villosissimus,M,Recent,Galapagos,Santa Cruz,Island,15.54,5.81,7.77,5.5,9.57,3.92,4.57,1.76,4.75,11.85,5.72,3.29,2.51,1.73,1.62,3.84,-0.639359,-90.337189,72.39082879,174,32,171.1923382,26.10000038,14.19999981,688
35843,ROM,Lasiurus,villosissimus,F,Recent,Galapagos,Santa Cruz,Island,14.83,5.47,7.25,4.78,9.16,3.27,3.74,1.77,4.59,11.18,5.96,3.29,2.71,1.73,1.29,3.66,-0.639359,-90.337189,72.39082879,174,32,171.1923382,26.10000038,14.19999981,688
10864,FMNH,Lasiurus,cinereus,M,Recent,Mexico,Baja California,Main,15.67,6.06,7.83,5.4,9.95,4.38,5.17,1.85,5.2,12.1,6.02,3.65,2.72,1.68,1.6,4.16,23.81368341,-110.0615313,136.6061359,274,4,431.9634506,34.20000076,8,445
17515,AMNH,Lasiurus,cinereus,F,Recent,Mexico,Chihuahua,Main,17.02,6.97,8.65,5.22,10.29,4.2,5.19,2.04,4.86,13.28,6.67,4.05,3.19,2.08,1.66,4.36,29.970841,-108.344498,89.9485255,241,20,600.0959388,28.89999962,6.300000191,2148
73579,KU,Lasiurus,cinereus,M,Recent,Mexico,Chihuahua,Main,16.6,5.84,8.26,5.27,9.98,4.52,5.16,2.04,4.83,13.07,6.39,3.92,2.9,1.75,1.72,4.61,29.51919,-104.49776,79.73740434,144,18,760.1654833,40.40000153,1.5,811
73580,KU,Lasiurus,cinereus,M,Recent,Mexico,Chihuahua,Main,16.43,6.06,8.45,5.42,10.32,4.21,5.04,1.79,4.89,13.13,6.18,3.76,3,1.6,1.81,4.07,29.51919,-104.49776,79.73740434,144,18,760.1654833,40.40000153,1.5,811
73581,KU,Lasiurus,cinereus,M,Recent,Mexico,Chihuahua,Main,16.79,6.18,8.61,5,9.94,4.61,5.28,1.88,4.9,12.37,6.76,3.69,2.66,2,1.65,3.94,29.51919,-104.49776,79.73740434,144,18,760.1654833,40.40000153,1.5,811
73582,KU,Lasiurus,cinereus,M,Recent,Mexico,Chihuahua,Main,16.32,5.92,8.06,5.25,10.1,4.59,5.64,1.87,4.85,12.78,6.13,3.98,2.8,1.65,1.71,4.22,29.51919,-104.49776,79.73740434,144,18,760.1654833,40.40000153,1.5,811
73583,KU,Lasiurus,cinereus,M,Recent,Mexico,Chihuahua,Main,16.63,6.42,8.89,5,10.23,4.63,5.33,1.84,4.74,12.89,6.4,3.99,3.01,1.88,1.69,4.34,29.51919,-104.49776,79.73740434,144,18,760.1654833,40.40000153,1.5,811
73584,KU,Lasiurus,cinereus,M,Recent,Mexico,Chihuahua,Main,16.76,6.53,8.44,5.11,10.08,4.34,4.95,1.72,5.12,13.26,6.2,3.78,3.01,1.82,1.84,4.24,29.51919,-104.49776,79.73740434,144,18,760.1654833,40.40000153,1.5,811
73585,KU,Lasiurus,cinereus,M,Recent,Mexico,Chihuahua,Main,16.17,6.02,8.06,5.08,9.75,4.5,5.07,1.8,4.57,12.68,6.13,3.63,2.8,2,1.81,4.39,29.51919,-104.49776,79.73740434,144,18,760.1654833,40.40000153,1.5,811
73586,KU,Lasiurus,cinereus,M,Recent,Mexico,Chihuahua,Main,16.11,5.82,8.09,5.15,9.96,4.31,5.59,1.73,4.78,12.61,6.28,3.71,2.66,1.63,1.56,4.23,29.51919,-104.49776,79.73740434,144,18,760.1654833,40.40000153,1.5,811
73588,KU,Lasiurus,cinereus,M,Recent,Mexico,Chihuahua,Main,16.23,5.88,7.93,5.23,9.34,4.22,5.24,1.83,4.89,11.93,5.91,3.7,2.7,1.51,1.6,3.8,29.51919,-104.49776,79.73740434,144,18,760.1654833,40.40000153,1.5,811
13835,LACM,Lasiurus,cinereus,M,Recent,Mexico,Chihuahua,Main,16.07,6.13,8.75,5.37,10.06,4.34,4.83,1.75,4.85,12.56,7.23,3.92,2.82,1.78,1.73,4.16,26.3522361,-106.7072039,101.8502775,553,35,421.1285338,27.89999962,1.399999976,2450
121716,MVZ,Lasiurus,cinereus,M,Recent,Mexico,Chihuahua,Main,16.43,6.39,8.97,5.28,10.14,4.28,4.89,1.67,4.92,12.76,7.05,3.79,2.87,1.73,1.75,3.79,28.72566834,-106.0872877,108.3367966,277,16,611.2016188,33.79999924,1.299999952,1434
124780,MVZ,Lasiurus,cinereus,M,Recent,Mexico,Chihuahua,Main,16.35,6.12,8.46,5.1,10.13,4.22,5.07,1.77,5.05,12.84,6.97,3.97,3.06,1.63,1.89,4.31,29.44365803,-106.8165407,107.4533924,305,20,594.1220891,30.5,3.599999905,2210
40831,KU,Lasiurus,cinereus,NA,Recent,Mexico,Coahuila,Main,16.97,6.72,8.59,5.56,10.33,4.74,5.34,1.84,5.15,13.28,6.37,3.81,3.13,1.69,1.84,4.36,26.531652,-101.256541,64.27190694,144,28,557.9268498,34,4.800000191,840
44746,KU,Lasiurus,cinereus,F,Recent,Mexico,Coahuila,Main,17.27,6.74,8.68,5.08,10.46,5.04,6.01,1.84,5.38,1.54,6.67,3.79,3.11,1.77,1.77,4.39,28.97925,-101.1836,61.29277895,201,43,674.3964745,36,3.799999952,431
13022,EBD,Lasiurus,cinereus,M,Recent,Mexico,Durango,Main,15.5,6.27,8.71,5.22,10.1,4.18,5.2,1.8,4.83,12.62,7.06,3.75,2.65,1.77,1.75,3.7,24.02142991,-104.7129432,105.0072884,360,12,358.9494315,29.60000038,2.900000095,1946
329591,USNM,Lasiurus,cinereus,M,Recent,Mexico,Guerrero,Main,16.29,6.85,8.34,5.17,10.06,4.85,5.27,1.82,5.25,12.61,7.28,3.57,3.13,1.64,1.73,4.07,17.55653684,-99.61099011,102.5830907,765,29,135.0589202,26.70000076,9,2186
