"Number","Museum","Genus","Species","Ssp","Sex","Prep","Country","Locality1","Isl_Main","GSL_24","ROST.LEN_26","LACR.W_30","POSTORB.W_32","MASTOID_34","C1.C1_37","M3.M3_38","GLENO.L_44","MAX.TOOTH_h","DEN.L_46","LOW.TR_49","MOM1.COR_52","MOM2.ANG_53","DEN.TH_57","CON.L_60","MASS.MUSC_c","Country1","lat","lon","bio4","bio5","bio6","bio15","bio16","bio17","bioalt"
49153,"FMNH","Lasiurus","cinereus","villosissimus",NA,"Recent","Colombia","Tolima","Main",14.85,5.1,7.18,5.19,9.08,3.99,4.56,1.66,4.51,10.9,5.63,3.26,2.57,1.81,1.44,3.85,"Colombia",5.2,-74.75,50.068126822497,32.7999992370605,22,48.0858116026048,981,318,246
5812,"BM","Lasiurus","cinereus","villosissimus","M","Recent","Paraguay","Sapucai","Main",15.01,5.38,8.14,5.47,9.68,3.8,4.69,1.73,4.37,11.61,6.22,3.51,2.81,1.54,1.62,4.13,"Paraguay",-25.66918381,-56.95810326,363.072962768116,31.6000003814697,11.6999998092651,27.0152899676758,475,238,167
240941,"USNM","Lasiurus","cinereus","villosissimus","F","Recent","Venezuela","Caracas","Main",15.73,6.22,8.21,5.3,9.47,4.03,4.79,2.04,4.42,11.08,5.92,3.52,2.77,1.96,1.83,3.76,"Venezuela",10.45418131,-66.97208794,82.1122624824747,25.3999996185303,12.8000001907349,54.843173279208,415,80,1331
307973,"USNM","Lasiurus","cinereus","villosissimus","F","Recent","Venezuela","Distrito Federal","Main",15.2,6.13,8.11,5.39,9.3,4.04,4.86,1.77,4.59,12.56,6.69,3.15,2.61,1.83,1.65,3.96,"Venezuela",10.53481787,-66.88505144,81.2532063676318,23,10,47.0029409689015,367,86,1819
370971,"USNM","Lasiurus","cinereus","villosissimus","M","Recent","Venezuela","Distrito Federal","Main",14.19,5.96,7.04,5.13,9,3.7,4.39,1.78,4.28,11.44,5.88,3.41,2.51,1.75,1.52,3.82,"Venezuela",10.53481787,-66.88505144,81.2532063676318,23,10,47.0029409689015,367,86,1819
370972,"USNM","Lasiurus","cinereus","villosissimus","F","Recent","Venezuela","Distrito Federal","Main",15.24,5.55,7.83,5.2,9.47,3.88,4.99,1.83,4.71,12.09,5.98,3.34,2.59,2,1.47,4.19,"Venezuela",10.53481787,-66.88505144,81.2532063676318,23,10,47.0029409689015,367,86,1819
387740,"USNM","Lasiurus","cinereus","villosissimus","F","Recent","Venezuela","Distrito Federal","Main",15.09,5.93,7.51,5.06,9.37,3.78,4.62,1.71,4.5,11.83,5.96,3.29,2.58,1.97,1.53,3.84,"Venezuela",10.53717677,-66.95217108,82.7738876403697,25.8999996185303,13.6999998092651,55.8140519005281,438,81,1220
441840,"USNM","Lasiurus","cinereus","villosissimus","M","Recent","Venezuela","Falcon","Main",14.56,5.12,7.79,5.16,9.27,3.85,4.77,1.76,4.48,11.53,5.81,3.19,2.55,1.76,1.54,3.9,"Venezuela",11.16687056,-70.6175761,97.4290537490226,33.7000007629395,22.2000007629395,68.0731134542344,271,36,35
118559,"MVZ","Lasiurus","cinereus","villosissimus","F","Recent","Galapagos","Academy Bay, Isla  Santa Cruz","Island",15.63,5.43,7.95,5.13,9.68,3.92,4.7,1.74,4.51,11.91,6.45,3.5,2.81,1.73,1.74,3.84,"Galapagos",-0.751483265,-90.31752089,183.766869175829,29.7000007629395,17.2000007629395,85.8812863320139,144,22,18
118560,"MVZ","Lasiurus","cinereus","villosissimus","M","Recent","Galapagos","Academy Bay, Isla  Santa Cruz","Island",15.54,5.89,7.89,5.32,9.68,3.77,4.52,1.79,4.57,12.14,6.54,3.59,2.63,1.72,1.72,3.83,"Galapagos",-0.751483265,-90.31752089,183.766869175829,29.7000007629395,17.2000007629395,85.8812863320139,144,22,18
